order_date_fiscal_period,order_date_fiscal_week,order_date_fiscal_day,weight
P01,W1,1,0.038694223251385
P01,W1,2,0.0218086622627159
P01,W1,3,0.0262634897668141
P01,W1,4,0.0381955474628237
P01,W1,5,0.0508287819242979
P01,W1,6,0.0330974755753808
P01,W1,7,0.0344731987188768
P01,W2,1,0.0307790259043135
P01,W2,2,0.0390747827454577
P01,W2,3,0.0268101918404264
P01,W2,4,0.0301542612416966
P01,W2,5,0.0376715610397292
P01,W2,6,0.0313555957351234
P01,W2,7,0.0360695432055998
P01,W3,1,0.0325913328475201
P01,W3,2,0.0424563871912556
P01,W3,3,0.032144006577216
P01,W3,4,0.0327574245450201
P01,W3,5,0.0387732907606701
P01,W3,6,0.0398247045047816
P01,W3,7,0.0326846441477431
P01,W4,1,0.0397335302502184
P01,W4,2,0.0397043430402993
P01,W4,3,0.0315539021238939
P01,W4,4,0.0364446933028462
P01,W4,5,0.0441781590855205
P01,W4,6,0.0403231767651848
P01,W4,7,0.0415540641831898
P02,W1,1,0.0301220070377109
P02,W1,2,0.0341245024781198
P02,W1,3,0.0328743819646682
P02,W1,4,0.0338059121881996
P02,W1,5,0.0477806744338207
P02,W1,6,0.0553699293234463
P02,W1,7,0.0491955402783615
P02,W2,1,0.0496203157837101
P02,W2,2,0.0538905397089562
P02,W2,3,0.0449633525896596
P02,W2,4,0.0400566434318159
P02,W2,5,0.072319174262826
P02,W2,6,0.0776490232515432
P02,W2,7,0.0656734709380325
P02,W3,1,0.0320720403301203
P02,W3,2,0.0272473697741991
P02,W3,3,0.019597243543558
P02,W3,4,0.0192032291114304
P02,W3,5,0.0208368794083701
P02,W3,6,0.0202697433091505
P02,W3,7,0.0195940588036951
P02,W4,1,0.0256434783596147
P02,W4,2,0.0190501487871119
P02,W4,3,0.022623345253276
P02,W4,4,0.0211289796903398
P02,W4,5,0.0247106613725023
P02,W4,6,0.0199542857936409
P02,W4,7,0.0206230687921207
P03,W1,1,0.0266010603099894
P03,W1,2,0.0334898423410573
P03,W1,3,0.0198991005135986
P03,W1,4,0.0223466117878771
P03,W1,5,0.0364646566315191
P03,W1,6,0.0265436413359718
P03,W1,7,0.0326175398438794
P03,W2,1,0.0267318559826658
P03,W2,2,0.0323756433507882
P03,W2,3,0.0199814539066227
P03,W2,4,0.0223965792708831
P03,W2,5,0.0305563375384442
P03,W2,6,0.0249036379746057
P03,W2,7,0.0266096234541917
P03,W3,1,0.0717033532897087
P03,W3,2,0.0565659566165923
P03,W3,3,0.0457600274409124
P03,W3,4,0.04801910780832
P03,W3,5,0.06059720566583
P03,W3,6,0.0664407567329068
P03,W3,7,0.0902890260734689
P03,W4,1,0.0476169056134848
P03,W4,2,0.023846205383785
P03,W4,3,0.0169925485583108
P03,W4,4,0.0182931714092467
P03,W4,5,0.0256872624170912
P03,W4,6,0.0218476160906541
P03,W4,7,0.0248232726575949
P04,W1,1,0.0336293116500272
P04,W1,2,0.0324194668827872
P04,W1,3,0.0276033994460426
P04,W1,4,0.0332850810006858
P04,W1,5,0.0428841020011934
P04,W1,6,0.0343001166694869
P04,W1,7,0.0443656096648647
P04,W2,1,0.0297713701094556
P04,W2,2,0.0283586673850895
P04,W2,3,0.0199759758823687
P04,W2,4,0.0199183981546628
P04,W2,5,0.0407301472618295
P04,W2,6,0.0344759391448394
P04,W2,7,0.0375114220318303
P04,W3,1,0.0320621053498749
P04,W3,2,0.0361181067035972
P04,W3,3,0.0260327142131934
P04,W3,4,0.0309324430234319
P04,W3,5,0.0420786372380503
P04,W3,6,0.0464215252976853
P04,W3,7,0.0489112833198258
P04,W4,1,0.0441621561144608
P04,W4,2,0.0464107879198098
P04,W4,3,0.0294519038946234
P04,W4,4,0.0329199656225787
P04,W4,5,0.0464255608596137
P04,W4,6,0.0398241942235245
P04,W4,7,0.0390196089345671
P05,W1,1,0.0276488282987512
P05,W1,2,0.0322743353256681
P05,W1,3,0.0260648931107051
P05,W1,4,0.0412619939686504
P05,W1,5,0.0515709447976811
P05,W1,6,0.0425811729960038
P05,W1,7,0.0464281711799484
P05,W2,1,0.0359754244746156
P05,W2,2,0.041576310680423
P05,W2,3,0.0285318831410341
P05,W2,4,0.0345941118426256
P05,W2,5,0.065147777616031
P05,W2,6,0.0709238441962991
P05,W2,7,0.0604947754582119
P05,W3,1,0.0301952134077041
P05,W3,2,0.0304900255203143
P05,W3,3,0.0197923064407046
P05,W3,4,0.0213215690627868
P05,W3,5,0.0292356901393864
P05,W3,6,0.0283467579240587
P05,W3,7,0.0121487033720824
P05,W4,1,0.0412593513168883
P05,W4,2,0.0245662785100608
P05,W4,3,0.0210194499458507
P05,W4,4,0.0228168093485216
P05,W4,5,0.0402060451992418
P05,W4,6,0.0386808837416429
P05,W4,7,0.0348464489841084
P06,W1,1,0.0295055335961157
P06,W1,2,0.0290485257874084
P06,W1,3,0.0217621259528801
P06,W1,4,0.0265786088019154
P06,W1,5,0.0352425341677957
P06,W1,6,0.0316247477075747
P06,W1,7,0.0362869318691707
P06,W2,1,0.0254015955410725
P06,W2,2,0.0269929067037191
P06,W2,3,0.0201716127973387
P06,W2,4,0.01856529060163
P06,W2,5,0.0293244473683928
P06,W2,6,0.0297643901020808
P06,W2,7,0.0323041822896035
P06,W3,1,0.0295608888463789
P06,W3,2,0.0291934278231353
P06,W3,3,0.0190374322137232
P06,W3,4,0.0249044796119408
P06,W3,5,0.040892934441785
P06,W3,6,0.0341390367212791
P06,W3,7,0.0389110294937146
P06,W4,1,0.0367410734630089
P06,W4,2,0.0450042009407767
P06,W4,3,0.0322532939903553
P06,W4,4,0.0511097910782928
P06,W4,5,0.0832485922977591
P06,W4,6,0.0813045006094436
P06,W4,7,0.0611258851817083
P07,W1,1,0.0716879790278688
P07,W1,2,0.0432599097733102
P07,W1,3,0.0223096397310337
P07,W1,4,0.0520354587266074
P07,W1,5,0.0525934315149545
P07,W1,6,0.0416030566474094
P07,W1,7,0.0371069656290136
P07,W2,1,0.0299529228721151
P07,W2,2,0.0349490102644387
P07,W2,3,0.0230626812403188
P07,W2,4,0.0325831814292296
P07,W2,5,0.0434434775008849
P07,W2,6,0.0382762662695549
P07,W2,7,0.0497384088582886
P07,W3,1,0.0303705265020894
P07,W3,2,0.0295775574551156
P07,W3,3,0.0192720504454057
P07,W3,4,0.0157245585658578
P07,W3,5,0.033644107324616
P07,W3,6,0.0362627601222332
P07,W3,7,0.0368108325109289
P07,W4,1,0.0301807426505713
P07,W4,2,0.0317101128525661
P07,W4,3,0.0253351750909251
P07,W4,4,0.030350970157099
P07,W4,5,0.0416421169543232
P07,W4,6,0.0338471790141141
P07,W4,7,0.0326689208691263
P08,W1,1,0.0618830240193225
P08,W1,2,0.0484250472239922
P08,W1,3,0.0469200201171354
P08,W1,4,0.0468932628389289
P08,W1,5,0.0560350018269734
P08,W1,6,0.0607662619841294
P08,W1,7,0.0640673713905974
P08,W2,1,0.0311861553504702
P08,W2,2,0.0280700276410093
P08,W2,3,0.0208492131972415
P08,W2,4,0.024796561337568
P08,W2,5,0.0389421046210974
P08,W2,6,0.0321635959316632
P08,W2,7,0.0317740853366159
P08,W3,1,0.026949308921619
P08,W3,2,0.0263707525726621
P08,W3,3,0.020760952833334
P08,W3,4,0.0264969477134169
P08,W3,5,0.0387419887412524
P08,W3,6,0.029668962916082
P08,W3,7,0.0283778383444542
P08,W4,1,0.0277025391878566
P08,W4,2,0.0257646014383959
P08,W4,3,0.0217479012675976
P08,W4,4,0.0215370695917454
P08,W4,5,0.0316980869356746
P08,W4,6,0.0434772807434993
P08,W4,7,0.0379340359756652
P09,W1,1,0.0348347627649482
P09,W1,2,0.0331534640602753
P09,W1,3,0.0258387820991212
P09,W1,4,0.0295060156385969
P09,W1,5,0.0386161112325954
P09,W1,6,0.0546038186068521
P09,W1,7,0.0444690272707045
P09,W2,1,0.0328133240860062
P09,W2,2,0.053594969574753
P09,W2,3,0.00115725195918188
P09,W2,4,0.0676697917243745
P09,W2,5,0.0458442471198095
P09,W2,6,0.0395709860444877
P09,W2,7,0.0391355621994742
P09,W3,1,0.0310586441770127
P09,W3,2,0.0309138189763178
P09,W3,3,0.022490367611619
P09,W3,4,0.029164142066826
P09,W3,5,0.0444481135692987
P09,W3,6,0.0376434059631763
P09,W3,7,0.036313841393246
P09,W4,1,0.0272982501328602
P09,W4,2,0.0414955817784219
P09,W4,3,0.0228394722629025
P09,W4,4,0.0219077566847505
P09,W4,5,0.0358508428765597
P09,W4,6,0.0335988648170861
P09,W4,7,0.0441687833087417
P10,W1,1,0.030216875220528
P10,W1,2,0.0310292484178119
P10,W1,3,0.0228777105988292
P10,W1,4,0.0257479622384591
P10,W1,5,0.0374661269892447
P10,W1,6,0.0377594103805834
P10,W1,7,0.0474515231840393
P10,W2,1,0.0402286623863873
P10,W2,2,0.0383476706430848
P10,W2,3,0.0285483933437939
P10,W2,4,0.0337600447253484
P10,W2,5,0.0492137692146455
P10,W2,6,0.0437551811605505
P10,W2,7,0.0435312157223978
P10,W3,1,0.0347098356160986
P10,W3,2,0.0316516568815399
P10,W3,3,0.0231585441820419
P10,W3,4,0.0272543343933242
P10,W3,5,0.0421673799403382
P10,W3,6,0.0348681759796494
P10,W3,7,0.0453117458722659
P10,W4,1,0.0335251044453682
P10,W4,2,0.0350168361940123
P10,W4,3,0.0261538511124223
P10,W4,4,0.0287086129236656
P10,W4,5,0.0501235666673568
P10,W4,6,0.042308086262366
P10,W4,7,0.0351084753038472
P11,W1,1,0.0752727706154464
P11,W1,2,0.054963236062304
P11,W1,3,0.0416494223738443
P11,W1,4,0.0458560299739132
P11,W1,5,0.058582262357734
P11,W1,6,0.0657900733978641
P11,W1,7,0.0755198895424225
P11,W2,1,0.0349384494131245
P11,W2,2,0.0300933193057361
P11,W2,3,0.0181879455962257
P11,W2,4,0.0270044557649181
P11,W2,5,0.0300959334609734
P11,W2,6,0.0281970631010642
P11,W2,7,0.0246345638497898
P11,W3,1,0.0292234278085012
P11,W3,2,0.0260762588550446
P11,W3,3,0.0200463963800404
P11,W3,4,0.0258360444553117
P11,W3,5,0.0389333847311232
P11,W3,6,0.0326802836140199
P11,W3,7,0.0307670795112728
P11,W4,1,0.0335286257427707
P11,W4,2,0.0282189189246916
P11,W4,3,0.0190050710896997
P11,W4,4,0.024560318126441
P11,W4,5,0.0301904098670384
P11,W4,6,0.0288063655747979
P11,W4,7,0.0213420005038865
P12,W1,1,0.0171333465577789
P12,W1,2,0.0144282810889245
P12,W1,3,0.00958489706305026
P12,W1,4,0.0110052503243291
P12,W1,5,0.0185010929636235
P12,W1,6,0.0160020297890617
P12,W1,7,0.0183526785481314
P12,W2,1,0.0223495310409356
P12,W2,2,0.0255513886952334
P12,W2,3,0.0227190867312759
P12,W2,4,0.0255618111315396
P12,W2,5,0.0294050086041301
P12,W2,6,0.0405724997244458
P12,W2,7,0.0329909438113847
P12,W3,1,0.0422715503039243
P12,W3,2,0.0232065658233752
P12,W3,3,0.0339412515623461
P12,W3,4,0.028712070869256
P12,W3,5,0.0287366037562191
P12,W3,6,0.0304738740169547
P12,W3,7,0.0378928732284175
P12,W4,1,0.0215266752865798
P12,W4,2,0.070688141675468
P12,W4,3,0.0410945300744971
P12,W4,4,0.0485212212202733
P12,W4,5,0.102331052570732
P12,W4,6,0.0793548407114399
P12,W4,7,0.107090902826672
P13,W1,1,0.025845051722661
P13,W1,2,0.0211449063764095
P13,W1,3,0.0211223514202176
P13,W1,4,0.0279582060923907
P13,W1,5,0.0338516158437224
P13,W1,6,0.0365317891212511
P13,W1,7,0.0440314391548545
P13,W2,1,0.040809913481407
P13,W2,2,0.0397583051337052
P13,W2,3,0.044110165527452
P13,W2,4,0.0425671463993975
P13,W2,5,0.0643015884142982
P13,W2,6,0.0652172334371884
P13,W2,7,0.0764075908407862
P13,W3,1,0.0488153403938475
P13,W3,2,0.0487029191987616
P13,W3,3,0.0482787614072238
P13,W3,4,0.0472698318301147
P13,W3,5,0.0549243562989477
P13,W3,6,0.0372134979075529
P13,W3,7,0.0323038959348227
P13,W4,1,0.0217087229429579
P13,W4,2,0.0144047329972965
P13,W4,3,0.00884486557881131
P13,W4,4,0.0126896169350508
P13,W4,5,0.0162003806313705
P13,W4,6,0.0149489293704047
P13,W4,7,0.0100368456070962